ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
1576537356,Deko,Hardware,Technology,USD,2015-10-24,70000.0,2015-09-24 03:12:52,1888.0,failed,41,US,1888.0,1888.0,70000.0
675907016,"Westside BJ's: The Gluten-Free, Organic Food Truck",Food Trucks,Food,USD,2015-02-01,250000.0,2015-01-02 20:55:07,1466.0,failed,9,US,1466.0,1466.0,250000.0
361890770,Crepe Diem Food Truck,Food,Food,USD,2014-01-17,30000.0,2013-12-18 03:26:04,5723.0,failed,90,US,5723.0,5723.0,30000.0
1225211551,Season's End - A horror novel ready for publication.,Fiction,Publishing,GBP,2016-11-23,5500.0,2016-10-24 15:44:36,25.0,failed,2,GB,23.24,31.09,6839.01
1728666794,LIBERTY! EQUALITY! AND FIREWORKS!... A Civil Rights Play,Plays,Theater,USD,2014-12-14,3000.0,2014-11-04 19:18:08,3506.0,successful,35,US,3506.0,3506.0,3000.0
225841284,"Wooden iPhone case, cradle, & nose for the 4/4S and 5",Product Design,Design,USD,2012-09-18,6000.0,2012-08-16 00:06:20,2918.0,failed,30,US,2918.0,2918.0,6000.0
1677803231,2014 Richmond Mural Project,Public Art,Art,USD,2014-04-11,6000.0,2014-02-10 20:02:01,6477.0,successful,195,US,6477.0,6477.0,6000.0
1775170784,Sealed with a Kiss: The Trap of the Succubus,Tabletop Games,Games,USD,2015-01-31,2.0,2015-01-16 21:01:52,8.0,successful,4,US,8.0,8.0,2.0
1124764914,Sistema de gestión electrónico ultra-eficiente para baterías,Hardware,Technology,EUR,2016-11-16,35000.0,2016-10-12 19:21:12,1.0,failed,1,ES,0.0,1.06,37201.59
1341783942,Requisitedance Gets Down and Dirty,Performance Art,Art,USD,2011-09-13,1500.0,2011-06-15 05:19:55,1655.0,successful,23,US,1655.0,1655.0,1500.0
332620608,"""Save a Life"" The Intervention DVD",Digital Art,Art,USD,2011-12-14,10000.0,2011-11-14 22:47:14,0.0,failed,0,US,0.0,0.0,10000.0
1522251841,Blowfish,Product Design,Design,USD,2014-07-04,5000.0,2014-06-04 04:16:03,12.0,failed,1,US,12.0,12.0,5000.0
801793367,Santa VS Jesus - The EPIC Card Game,Tabletop Games,Games,GBP,2016-07-07,4500.0,2016-06-07 10:17:58,7146.5,successful,148,GB,10285.35,9280.69,5843.85
1606907461,Chick Chick Chicky Deluxe (Pacman inspired indie game),Games,Games,GBP,2014-09-02,3000.0,2014-08-03 18:40:39,1.0,failed,1,GB,1.68,1.63,4888.78
902381674,An Other Earth: Art & Science in the Arctic Circle,Conceptual Art,Art,USD,2016-10-09,3000.0,2016-09-09 05:39:23,3081.0,successful,32,US,171.0,3081.0,3000.0
1571182225,Expand Vocab,Software,Technology,USD,2014-02-25,100000.0,2014-01-21 19:27:34,3131.0,failed,11,US,3131.0,3131.0,100000.0
1696101561,Live the Italian lifestyle,Software,Technology,EUR,2015-12-27,49000.0,2015-10-28 19:32:28,15.0,failed,1,IT,16.59,16.33,53346.11
308123578,How do we live?,Photobooks,Photography,GBP,2017-03-30,5000.0,2017-02-28 17:30:21,976.0,failed,16,GB,760.59,1219.65,6248.2
554316953,simmo7ts youtube World Music Video Site,Festivals,Film & Video,GBP,2015-04-16,1000.0,2015-02-15 22:30:19,20.0,failed,2,GB,30.8,30.04,1502.16
958457175,Pulse - Paranormal User Logistical System Environment,Software,Technology,USD,2014-08-17,5000.0,2014-07-18 04:40:57,0.0,failed,0,US,0.0,0.0,5000.0
2058928406,GINGER - A Jack the Ripper short film,Drama,Film & Video,GBP,2015-03-15,1000.0,2015-02-23 18:40:39,1200.0,successful,22,GB,1847.91,1782.37,1485.31
1725572740,Kids with Rare Genetic Conditions (A Photo Book),Photobooks,Photography,USD,2016-07-24,25000.0,2016-06-24 14:21:20,25367.0,successful,201,US,9703.0,25367.0,25000.0
373266567,I Found Jesus! A Seek & Discover Book,Children's Books,Publishing,USD,2017-05-04,10000.0,2017-04-04 08:01:03,10792.0,successful,148,US,855.0,10792.0,10000.0
23543343,Bacon/Egg Salad Sandwiches for Everyone,Community Gardens,Food,USD,2014-08-30,60.0,2014-07-31 03:02:46,0.0,failed,0,US,0.0,0.0,60.0
